Comment,Author,AuthorChannelId,LikeCount
"Yang bilang saya menjilat.. lha wong kenyataaannya memang ada pembangunan.. kalo mangkrak itu ditinggalkan dan tidak ada yg kerja.. saya kebetulan lagi di balikpapan untuk opening yoong motor, dan kebetulan ada ajakan untuk jalan2 ke IKN, ya sekalian saya buktikan apa omongan netizen.. 😤 kalau setelah nonton video ini anda masih mikir ini proyek mangkrak, ya silahkan.. ndak ada yang maksa anda untuk setuju dengan siapapun.. yang penting makan soto jangan pake kecap manis ya ❤",@AndySugar,UCeB4zZbv-4uACQApmyOAjaQ,3553
Berarti Indonesia tidak miskin seperti dugaan orang malaydes😅,@GunturZulfa,UCeOpiwt3mHeb_G0u2xDOBig,0
😂😂😂😂😂😂 rata rata yg komen disini pendukung Mulyono ini..penipu semua,@asrafsiregar2441,UCMkHwA0XXaNofEXCmlZlSRA,0
"Orang yng mengatakan IKN  mangkrak, orang itu bodoh gak tahu apa-apa, tahunya dia cuma lewat mensos coba datang kesini di IKN biar tahu semua",@Diki-e2m,UCAgt_rIya27mtXFDRab03Fg,0
IKN..indonesia ku semakin jaya amin ya Allahu,@LisaLisa-h8i,UCjj8qZt3k3YlXvh2n91LfuA,0
Yang bilang ikn mangkrak itu manusia yang kayak Anjing'.,@darminmin298,UCtnlGCmLGY2h-VH5LuYLiuQ,0
"gasama amin rais mas.😂 keruangam mewahnya,",@ZainudinUdin-y6x,UC69CJZuFQgGrIcnIxRFz89Q,0
IKN memang keren,@anisromanday7572,UCPseDN3JItbHYP5Q9Oy0R2Q,0
Soto kok gak blh make kecap knp om,@Fransisca-r1i,UCl9cn97dqCxh_SK0ScdvyNw,0
Surabaya hadir. Alhamdulillah. Terimakasih Cindo yang sudah melaporkan pembangunan IKN.,@bima5311,UCxV0pXOcuOmBe37SqgCkLnQ,0
Yang membenci biarlah tetap membenci.! Yang mendukung tetap konsisten mendukung agar kedua nya seimbang. Majuu terus Ibu kota Nusantara ku. ❤,@gandagenmen6285,UCb4oIqIMfZQo6dzzrZi_VEQ,0
Saya jamin sepuluh tahun kedepan IKN akan terbang .sebagai sentralnya indonesia.pembangunan indonesia dari propinsi satu kepropinsi lainnya .indonesia begara besar dan banyak pulau  banyak propinsi bukan begara satu propinsi inilah insonesia surgabya dunia.,@PrasetiyoBudi-g4g,UCnbB4Hhs153i93bbgBUrpUA,0
