Comment,Author,AuthorChannelId,LikeCount,Sentiment,Comment_Preprocessed
"Yang bilang saya menjilat.. lha wong kenyataaannya memang ada pembangunan.. kalo mangkrak itu ditinggalkan dan tidak ada yg kerja.. saya kebetulan lagi di balikpapan untuk opening yoong motor, dan kebetulan ada ajakan untuk jalan2 ke IKN, ya sekalian saya buktikan apa omongan netizen.. 😤 kalau setelah nonton video ini anda masih mikir ini proyek mangkrak, ya silahkan.. ndak ada yang maksa anda untuk setuju dengan siapapun.. yang penting makan soto jangan pake kecap manis ya ❤",@AndySugar,UCeB4zZbv-4uACQApmyOAjaQ,3553,positif,bilang jilat lha kenyataaannya bangun kalo mangkrak tinggal kerja balikpapan opening yoong motor aja jalan ikn ya bukti omong netizen nonton video mikir proyek mangkrak ya silah ndak maksa tuju makan soto pake kecap manis ya
Berarti Indonesia tidak miskin seperti dugaan orang malaydes😅,@GunturZulfa,UCeOpiwt3mHeb_G0u2xDOBig,0,positif,indonesia miskin duga orang malaydes
😂😂😂😂😂😂 rata rata yg komen disini pendukung Mulyono ini..penipu semua,@asrafsiregar2441,UCMkHwA0XXaNofEXCmlZlSRA,0,positif,komen dukung mulyono inipenipu
"Orang yng mengatakan IKN  mangkrak, orang itu bodoh gak tahu apa-apa, tahunya dia cuma lewat mensos coba datang kesini di IKN biar tahu semua",@Diki-e2m,UCAgt_rIya27mtXFDRab03Fg,0,positif,orang yng ikn mangkrak orang bodoh apaapa tahu mensos coba kesini ikn biar
IKN..indonesia ku semakin jaya amin ya Allahu,@LisaLisa-h8i,UCjj8qZt3k3YlXvh2n91LfuA,0,negatif,iknindonesia ku jaya amin ya allahu
Yang bilang ikn mangkrak itu manusia yang kayak Anjing'.,@darminmin298,UCtnlGCmLGY2h-VH5LuYLiuQ,0,positif,bilang ikn mangkrak manusia kayak anjing
"gasama amin rais mas.😂 keruangam mewahnya,",@ZainudinUdin-y6x,UC69CJZuFQgGrIcnIxRFz89Q,0,negatif,gasama amin rais mas keruangam mewah
IKN memang keren,@anisromanday7572,UCPseDN3JItbHYP5Q9Oy0R2Q,0,negatif,ikn keren
Soto kok gak blh make kecap knp om,@Fransisca-r1i,UCl9cn97dqCxh_SK0ScdvyNw,0,positif,soto blh make kecap knp om
Surabaya hadir. Alhamdulillah. Terimakasih Cindo yang sudah melaporkan pembangunan IKN.,@bima5311,UCxV0pXOcuOmBe37SqgCkLnQ,0,netral,surabaya hadir alhamdulillah terimakasih cindo lapor bangun ikn
